제작자,차명,생산기간(부터),생산기간(까지),리콜개시일,리콜사유
(주) 바이크코리아,Rocket 3 R,2020-02-14,2020-08-31,2021-01-02,"뒷브레이크 에 제동 액을 주입하여 브레이크 압력을 설정하는 제작 공정이 불량하여 , 뒷브레이크 와 연결된 ABS 모듈 레이터 내에 미세한 공기 방울이 남아 있게 되어 뒷브레이크 압력이 저하될 수 있 음"
(주) 바이크코리아,Rocket 3 GT,2020-02-13,2020-08-29,2021-01-02,"뒷브레이크 에 제동 액을 주입하여 브레이크 압력을 설정하는 제작 공정이 불량하여 , 뒷브레이크 와 연결된 ABS 모듈 레이터 내에 미세한 공기 방울이 남아 있게 되어 뒷브레이크 압력이 저하될 수 있 음"
스텔란티스코리아주식회사,짚그랜드체로키,2010-07-20,2013-01-10,2021-01-04,2014년 및 2015년도에 시행되었던 리콜P54(2014RIV156)와 R09(2015RIV119)에 사용되었던 연료 펌프 릴레이 내부 접점 근처에 있는 실리콘 고무가 연료 펌프 릴레이 작동시 발생하는 열에 의해 녹아 연료 펌프 릴레이 내부 접점으로 떨어지고 이로 인해 접점을 막아 연료 펌프 릴레이 전류 흐름을 막을 수 있음을 확인하였습니다. 연료 펌프 릴레이 내부 접점을 오염된 실리콘이 막아 연료 펌프 릴레이 전류 흐름을 막게 되면 연료 펌프가 작동하지 않고 이로 인해 연료 공급이 안되 시동이 안걸리거나 주행중 시동이 꺼질 수 있습니다
혼다코리아(주),CRF1100,2020-04-10,2020-10-20,2021-01-07,탱크 제조시 용접 과정에서 발생한 산화 아연이 연료 펌프의 흡입 필터에 흡착된다.
혼다코리아(주),CRF1000,2018-03-15,2019-06-10,2021-01-07,탱크 제조시 용접 과정에서 발생한 산화 아연이 연료 펌프의 흡입 필터에 흡착된다.
비엠더블유코리아(주),BMW 525d xDrive,2011-11-22,2013-03-15,2021-01-08,"BMW 자체 품질 조사 결과 2007년 11월 13일부터 2015년 5월 29일까지 생산된 BMW 520d 등 56개모델의 일부 차량에서 타이밍체인①과 관련한 제작결함이 발견 되었습니다. 사용시간 경과에 따라 타이밍체인의 늘어남은 발생할 수 있으나 타이밍체인 텐셔너가 장력을 유지시켜줍니다. 다만, 주행 조건(극심한 정체, 짧은 주행거리 등)에 따른 DPF(디젤미립자필터)의 재생 빈도와 수준 등의 영향으로 연료(경유)가 엔진오일과 희석될 수 있습니다."
비엠더블유코리아(주),BMW 525d xDrive,2013-07-08,2014-05-23,2021-01-08,"BMW 자체 품질 조사 결과 2007년 11월 13일부터 2015년 5월 29일까지 생산된 BMW 520d 등 56개모델의 일부 차량에서 타이밍체인①과 관련한 제작결함이 발견 되었습니다. 사용시간 경과에 따라 타이밍체인의 늘어남은 발생할 수 있으나 타이밍체인 텐셔너가 장력을 유지시켜줍니다. 다만, 주행 조건(극심한 정체, 짧은 주행거리 등)에 따른 DPF(디젤미립자필터)의 재생 빈도와 수준 등의 영향으로 연료(경유)가 엔진오일과 희석될 수 있습니다."
비엠더블유코리아(주),BMW 525d,2012-07-03,2013-02-05,2021-01-08,"BMW 자체 품질 조사 결과 2007년 11월 13일부터 2015년 5월 29일까지 생산된 BMW 520d 등 56개모델의 일부 차량에서 타이밍체인①과 관련한 제작결함이 발견 되었습니다. 사용시간 경과에 따라 타이밍체인의 늘어남은 발생할 수 있으나 타이밍체인 텐셔너가 장력을 유지시켜줍니다. 다만, 주행 조건(극심한 정체, 짧은 주행거리 등)에 따른 DPF(디젤미립자필터)의 재생 빈도와 수준 등의 영향으로 연료(경유)가 엔진오일과 희석될 수 있습니다."
비엠더블유코리아(주),BMW 525d,2013-07-08,2014-05-23,2021-01-08,"BMW 자체 품질 조사 결과 2007년 11월 13일부터 2015년 5월 29일까지 생산된 BMW 520d 등 56개모델의 일부 차량에서 타이밍체인①과 관련한 제작결함이 발견 되었습니다. 사용시간 경과에 따라 타이밍체인의 늘어남은 발생할 수 있으나 타이밍체인 텐셔너가 장력을 유지시켜줍니다. 다만, 주행 조건(극심한 정체, 짧은 주행거리 등)에 따른 DPF(디젤미립자필터)의 재생 빈도와 수준 등의 영향으로 연료(경유)가 엔진오일과 희석될 수 있습니다."
비엠더블유코리아(주),BMW 520d xDrive,2013-07-10,2014-06-30,2021-01-08,"BMW 자체 품질 조사 결과 2007년 11월 13일부터 2015년 5월 29일까지 생산된 BMW 520d 등 56개모델의 일부 차량에서 타이밍체인①과 관련한 제작결함이 발견 되었습니다. 사용시간 경과에 따라 타이밍체인의 늘어남은 발생할 수 있으나 타이밍체인 텐셔너가 장력을 유지시켜줍니다. 다만, 주행 조건(극심한 정체, 짧은 주행거리 등)에 따른 DPF(디젤미립자필터)의 재생 빈도와 수준 등의 영향으로 연료(경유)가 엔진오일과 희석될 수 있습니다."
비엠더블유코리아(주),BMW 520d Touring,2013-06-17,2014-04-30,2021-01-08,"BMW 자체 품질 조사 결과 2007년 11월 13일부터 2015년 5월 29일까지 생산된 BMW 520d 등 56개모델의 일부 차량에서 타이밍체인①과 관련한 제작결함이 발견 되었습니다. 사용시간 경과에 따라 타이밍체인의 늘어남은 발생할 수 있으나 타이밍체인 텐셔너가 장력을 유지시켜줍니다. 다만, 주행 조건(극심한 정체, 짧은 주행거리 등)에 따른 DPF(디젤미립자필터)의 재생 빈도와 수준 등의 영향으로 연료(경유)가 엔진오일과 희석될 수 있습니다."
비엠더블유코리아(주),BMW Gran Turismo 20d,2012-06-29,2013-06-26,2021-01-08,"BMW 자체 품질 조사 결과 2007년 11월 13일부터 2015년 5월 29일까지 생산된 BMW 520d 등 56개모델의 일부 차량에서 타이밍체인①과 관련한 제작결함이 발견 되었습니다. 사용시간 경과에 따라 타이밍체인의 늘어남은 발생할 수 있으나 타이밍체인 텐셔너가 장력을 유지시켜줍니다. 다만, 주행 조건(극심한 정체, 짧은 주행거리 등)에 따른 DPF(디젤미립자필터)의 재생 빈도와 수준 등의 영향으로 연료(경유)가 엔진오일과 희석될 수 있습니다."
비엠더블유코리아(주),BMW Gran Turismo EfficientDynamics Edition,2013-07-15,2015-05-22,2021-01-08,"BMW 자체 품질 조사 결과 2007년 11월 13일부터 2015년 5월 29일까지 생산된 BMW 520d 등 56개모델의 일부 차량에서 타이밍체인①과 관련한 제작결함이 발견 되었습니다. 사용시간 경과에 따라 타이밍체인의 늘어남은 발생할 수 있으나 타이밍체인 텐셔너가 장력을 유지시켜줍니다. 다만, 주행 조건(극심한 정체, 짧은 주행거리 등)에 따른 DPF(디젤미립자필터)의 재생 빈도와 수준 등의 영향으로 연료(경유)가 엔진오일과 희석될 수 있습니다."
비엠더블유코리아(주),BMW X1 xDrive18d,2010-03-12,2012-04-19,2021-01-08,"BMW 자체 품질 조사 결과 2007년 11월 13일부터 2015년 5월 29일까지 생산된 BMW 520d 등 56개모델의 일부 차량에서 타이밍체인①과 관련한 제작결함이 발견 되었습니다. 사용시간 경과에 따라 타이밍체인의 늘어남은 발생할 수 있으나 타이밍체인 텐셔너가 장력을 유지시켜줍니다. 다만, 주행 조건(극심한 정체, 짧은 주행거리 등)에 따른 DPF(디젤미립자필터)의 재생 빈도와 수준 등의 영향으로 연료(경유)가 엔진오일과 희석될 수 있습니다."
비엠더블유코리아(주),BMW X1 xDrive18d,2012-06-15,2015-04-23,2021-01-08,"BMW 자체 품질 조사 결과 2007년 11월 13일부터 2015년 5월 29일까지 생산된 BMW 520d 등 56개모델의 일부 차량에서 타이밍체인①과 관련한 제작결함이 발견 되었습니다. 사용시간 경과에 따라 타이밍체인의 늘어남은 발생할 수 있으나 타이밍체인 텐셔너가 장력을 유지시켜줍니다. 다만, 주행 조건(극심한 정체, 짧은 주행거리 등)에 따른 DPF(디젤미립자필터)의 재생 빈도와 수준 등의 영향으로 연료(경유)가 엔진오일과 희석될 수 있습니다."
비엠더블유코리아(주),BMW X1 xDrive20d,2009-12-23,2012-05-25,2021-01-08,"BMW 자체 품질 조사 결과 2007년 11월 13일부터 2015년 5월 29일까지 생산된 BMW 520d 등 56개모델의 일부 차량에서 타이밍체인①과 관련한 제작결함이 발견 되었습니다. 사용시간 경과에 따라 타이밍체인의 늘어남은 발생할 수 있으나 타이밍체인 텐셔너가 장력을 유지시켜줍니다. 다만, 주행 조건(극심한 정체, 짧은 주행거리 등)에 따른 DPF(디젤미립자필터)의 재생 빈도와 수준 등의 영향으로 연료(경유)가 엔진오일과 희석될 수 있습니다."
비엠더블유코리아(주),BMW X1 xDrive20d,2012-06-29,2015-04-24,2021-01-08,"BMW 자체 품질 조사 결과 2007년 11월 13일부터 2015년 5월 29일까지 생산된 BMW 520d 등 56개모델의 일부 차량에서 타이밍체인①과 관련한 제작결함이 발견 되었습니다. 사용시간 경과에 따라 타이밍체인의 늘어남은 발생할 수 있으나 타이밍체인 텐셔너가 장력을 유지시켜줍니다. 다만, 주행 조건(극심한 정체, 짧은 주행거리 등)에 따른 DPF(디젤미립자필터)의 재생 빈도와 수준 등의 영향으로 연료(경유)가 엔진오일과 희석될 수 있습니다."
비엠더블유코리아(주),BMW X1 xDrive23d,2009-12-23,2012-04-16,2021-01-08,"BMW 자체 품질 조사 결과 2007년 11월 13일부터 2015년 5월 29일까지 생산된 BMW 520d 등 56개모델의 일부 차량에서 타이밍체인①과 관련한 제작결함이 발견 되었습니다. 사용시간 경과에 따라 타이밍체인의 늘어남은 발생할 수 있으나 타이밍체인 텐셔너가 장력을 유지시켜줍니다. 다만, 주행 조건(극심한 정체, 짧은 주행거리 등)에 따른 DPF(디젤미립자필터)의 재생 빈도와 수준 등의 영향으로 연료(경유)가 엔진오일과 희석될 수 있습니다."
